MAJOR CLADE,No.REF,ORDER,FAMILY,NODE,SRB_topology,FAMILY,TOPO,mean,min,max,Reference,
MAGNOLIIDS,198,PIPERALES,2,PIPERALES,810,1,,127.5,116,139,Wikstr??m et al. 2001,
MAGNOLIIDS,199,PIPERALES,2,PIPERALES,810,1,,111.5,87,138,Bell et al. 2010,
MAGNOLIIDS,200,PIPERALES,2,PIPERALES,810,1,,110,,,Magall??n et al. 2013,
MAGNOLIIDS,201,PIPERALES,2,PIPERALES,810,1,,105.4,,,Magall??n et al. 2015,
MAGNOLIIDS,202,PIPERALES,2,PIPERALES,810,1,,101,76.5,124,Naumann et al. 2013,
MAGNOLIIDS,203,PIPERALES,2,PIPERALES,810,1,,128.6,88.1,158.2,Massoni et al. 2015a,
MAGNOLIIDS,204,PIPERALES,2,Aristolochiaceae,814,1,,115,102,128,Wikstr??m et al. 2001,
MAGNOLIIDS,205,PIPERALES,2,Aristolochiaceae,814,1,,97.5,72,126,Bell et al. 2010,
MAGNOLIIDS,206,PIPERALES,2,Aristolochiaceae,814,1,,103.4,,,Naumann et al. 2013,
MAGNOLIIDS,207,PIPERALES,2,Aristolochiaceae,814,1,,111.35,52.4,147.3,Massoni et al. 2015a,
MAGNOLIIDS,208,PIPERALES,2,Aristolochiaceae,814,1,,102.6,,,Tank et al. 2015,
MAGNOLIIDS,209,PIPERALES,2,[Piperaceae + Saururaceae],811,,,95,84,106,Wikstr??m et al. 2001,
MAGNOLIIDS,210,PIPERALES,2,[Piperaceae + Saururaceae],811,,,64.1,,,Magall??n et al. 2013,
MAGNOLIIDS,211,PIPERALES,2,[Piperaceae + Saururaceae],811,,,65.5,,,Magall??n et al. 2015,
MAGNOLIIDS,212,PIPERALES,2,[Piperaceae + Saururaceae],811,,,72.5,45,96,Bell et al. 2010,
MAGNOLIIDS,213,PIPERALES,2,[Piperaceae + Saururaceae],811,,,,62.2,76.5,Naumann et al. 2013,
MAGNOLIIDS,214,PIPERALES,2,[Piperaceae + Saururaceae],811,,,74.8,,,Tank et al. 2015,
MAGNOLIIDS,215,PIPERALES,2,Piperaceae,812,1,,54.5,,,Naumann et al. 2013,
MAGNOLIIDS,216,PIPERALES,2,Piperaceae,812,1,,67.85,37.8,96.8,Massoni et al. 2015a,
MAGNOLIIDS,217,PIPERALES,2,Saururaceae,813,1,,76.5,69,84,Wikstr??m et al. 2001,
MAGNOLIIDS,218,PIPERALES,2,Saururaceae,813,1,,50.5,26,77,Bell et al. 2010,
MAGNOLIIDS,219,PIPERALES,2,Saururaceae,813,1,,57.85,46.7,80.8,Massoni et al. 2015a,
,220,,,Monocots + [Ceratophyllales + Eudicots],NA,,!TOPO,,143,147,Leebens-Mack et al. 2005,
,221,,,Monocots + [Ceratophyllales + Eudicots],NA,,!TOPO,160,,,Foster et al. 2016a,
,222,,,Monocots + [Ceratophyllales + Eudicots],NA,,!TOPO,,140,150,Chaw et al. 2004,
,223,,,Monocots + [Ceratophyllales + Eudicots],NA,,!TOPO,135,127,142,Moore et al. 2010,
,224,,,Monocots + [Ceratophyllales + Eudicots],NA,,!TOPO,137,124,161,Clarke et al. 2011,
,225,,,Monocots + [Ceratophyllales + Eudicots],NA,,!TOPO,,134,138,Mennes et al. 2013,
,226,,,Monocots + [Ceratophyllales + Eudicots],NA,,!TOPO,,142.3,145,Naumann et al. 2013,
,227,,,Monocots + [Ceratophyllales + Eudicots],NA,,!TOPO,140.7,130.5,158.5,Xue et al. 2012,
,228,,,Monocots + [Ceratophyllales + Eudicots],NA,,!TOPO,135.8,,,Magall??n et al. 2015,
,229,,,Monocots + [Ceratophyllales + Eudicots],NA,,!TOPO,134.5,126,143,Hertweck et al. 2015,
,230,,,Monocots + [Ceratophyllales + Eudicots],NA,,!TOPO,172.4,,,Tank et al. 2015,
